id,rank,player,age_that_year,hits,year,bats
426,,Chick Stahl,26,202,1899,L
427,,Shannon Stewart,27,202,2001,R
428,,Milt Stock,31,202,1925,R
429,,Fresco Thompson,27,202,1929,R
430,,Jack Tobin,28,202,1920,L
431,,Jack Tobin,31,202,1923,L
432,,Bobby Veach,34,202,1922,L
433,,Bernie Williams,30,202,1999,B
434,434,Hank Aaron,29,201,1963,R
435,,Dick Allen,22,201,1964,R
436,,Matty Alou,31,201,1970,L
437,,Garret Anderson,31,201,2003,L
438,,Eddie Brown,34,201,1926,R
439,,Bill Buckner,32,201,1982,L
440,,Bill Buckner,35,201,1985,L
441,,Melky Cabrera,26,201,2011,B
442,,Roberto Clemente,26,201,1961,R
443,,Ty Cobb,29,201,1916,L
444,,Taylor Douthit,29,201,1930,R
445,,Nellie Fox,26,201,1954,L
446,,Julio Franco,32,201,1991,R
447,,Charlie Gehringer,27,201,1930,L
448,,Charlie Gehringer,32,201,1935,L
449,,Dee Gordon,29,201,2017,L
450,,Goose Goslin,24,201,1925,L
451,,Goose Goslin,25,201,1926,L
452,,Hank Greenberg,23,201,1934,R
453,,Dick Groat,32,201,1963,R
454,,Mark Grudzielanek,26,201,1996,R
455,,Billy Hamilton,29,201,1895,L
456,,Harry Heilmann,32,201,1927,R
457,,Charlie Hollocher,26,201,1922,L
458,,Ender Inciarte,26,201,2017,L
459,,Derek Jeter,26,201,2000,R
460,,Roy Johnson,26,201,1929,L
461,,Harvey Kuenn,23,201,1954,R
462,,Austin McHenry,25,201,1921,R
463,,Joe Medwick,27,201,1939,R
464,,Irish Meusel,28,201,1921,R
465,,Paul Molitor,25,201,1982,R
466,,Jo-Jo Moore,26,201,1935,L
467,,Dustin Pedroia,32,201,2016,R
468,,Mike Piazza,28,201,1997,R
469,,Jim Rice,26,201,1979,R
470,,Alex Rodriguez,25,201,2001,R
471,,Al Rosen,29,201,1953,R
472,,George Sisler,34,201,1927,L
473,,Moose Solters,29,201,1935,R
474,,Joe Vosmik,28,201,1938,R
475,,Honus Wagner,26,201,1900,R
476,,Honus Wagner,34,201,1908,R
477,,Zack Wheat,34,201,1922,L
478,,Billy Williams,26,201,1964,L
479,,Jack Wilson,26,201,2004,R
480,,Michael Young,30,201,2007,R
481,481,Hank Aaron,22,200,1956,R
482,,Jose Altuve,25,200,2015,R
483,,Carlos Baerga,24,200,1993,B
484,,Home Run Baker,26,200,1912,L
485,,Buddy Bell,27,200,1979,R
486,,Albert Belle,31,200,1998,R
487,,Adrian Beltre,25,200,2004,R
488,,Wade Boggs,29,200,1987,L
489,,Bobby Bonds,24,200,1970,R
490,,Michael Brantley,27,200,2014,L
491,,Lou Brock,25,200,1964,L
492,,Lou Brock,32,200,1971,L
493,,Dick Burrus,27,200,1925,L
494,,Robinson Cano,27,200,2010,L
495,,Rod Carew,30,200,1976,L
496,,Joe Carter,26,200,1986,R
497,,Ripper Collins,30,200,1934,B
498,,Doc Cramer,34,200,1940,L
499,,Ed Delahanty,26,200,1894,R
500,,Ed Delahanty,29,200,1897,R
501,,Elmer Flick,24,200,1900,L
502,,Curt Flood,25,200,1963,R
503,,Chick Fullis,32,200,1933,R
504,,Ralph Garr,27,200,1973,L
505,,Steve Garvey,25,200,1974,R
506,,Steve Garvey,27,200,1976,R
507,,Steve Garvey,31,200,1980,R
508,,Lou Gehrig,34,200,1937,L
509,,Hank Greenberg,26,200,1937,R
510,,Vladimir Guerrero,31,200,2006,R
511,,Al Kaline,20,200,1955,R
512,,Chuck Klein,26,200,1931,L
513,,Barney McCosky,23,200,1940,L
514,,Stan Musial,32,200,1953,L
515,,John Olerud,24,200,1993,L
516,,Placido Polanco,31,200,2007,R
517,,Rip Radcliff,34,200,1940,L
518,,Jim Rice,33,200,1986,R
519,,Phil Rizzuto,32,200,1950,R
520,,Babe Ruth,29,200,1924,L
521,,Freddy Sanchez,28,200,2006,R
522,,Ryne Sandberg,24,200,1984,R
523,,Red Schoendienst,34,200,1957,B
524,,Al Simmons,29,200,1931,R
525,,Al Simmons,31,200,1933,R
526,,Garry Templeton,21,200,1977,B
527,,Randy Velarde,36,200,1999,R
528,,Jose Vidro,25,200,2000,B
529,,Dick Wakefield,22,200,1943,L
530,,Paul Waner,26,200,1929,L
531,,Billy Werber,26,200,1934,R
532,,Bill White,29,200,1963,L
533,,Pinky Whitney,24,200,1929,R
534,,Ross Youngs,26,200,1923,L
